wing,R23,R23_err,kk04_R23,kk04_R23_err,log_kk04_R23,log_kk04_R23_err,KD02_O32,KD02_O32_err,log_KD02_O32,log_KD02_O32_err,KK04_O32,KK04_O32_err,log_KK04_O32,log_KK04_O32_err,N2,N2_err,log_N2,log_N2_err,12+log(O/H)_N2,12+log(O/H)_N2_err,[NII]/[OII],[NII]/[OII]_err,log_NII_OII,log_NII_OII_err,Halpha/Hbeta_observed,Halpha/Hbeta_observed_err,Hgamma/Hbeta_observed,Hgamma/Hbeta_observed_err,E(B-V),E(B-V)_err
red_wing,8.591,9.182,7.42,8.228,0.87,0.481,2.53,2.724,0.403,0.467,8.445,9.151,0.927,0.47,,,,,,,,,,,3.317,3.805,0.547,0.689,0.125,0.109
central,7.753,4.627,6.916,4.201,0.84,0.264,3.694,3.233,0.567,0.38,13.703,10.654,1.137,0.337,0.059,,-1.225,,8.201,,0.333,,-0.477,,2.98,1.446,0.529,0.258,0.125,0.109
blue_wing,,,,,,,,,,,,,,,,,,,,,,,,,5.222,2.684,0.918,0.624,0.125,0.109
