wing,R23,R23_err,kk04_R23,kk04_R23_err,log_kk04_R23,log_kk04_R23_err,KD02_O32,KD02_O32_err,log_KD02_O32,log_KD02_O32_err,KK04_O32,KK04_O32_err,log_KK04_O32,log_KK04_O32_err,N2,N2_err,log_N2,log_N2_err,12+log(O/H)_N2,12+log(O/H)_N2_err,[NII]/[OII],[NII]/[OII]_err,log_NII_OII,log_NII_OII_err,Halpha/Hbeta_observed,Halpha/Hbeta_observed_err,Hgamma/Hbeta_observed,Hgamma/Hbeta_observed_err,E(B-V),E(B-V)_err
red_wing,8.629,40.035,7.425,35.564,0.871,2.079,2.455,13.012,0.39,2.3,8.2,48.735,0.914,2.579,,,,,,,,,,,3.32,3.803,0.547,0.688,0.151,1.158
central,7.704,15.43,6.937,14.266,0.841,0.893,4.076,9.57,0.61,1.019,15.123,38.638,1.18,1.109,0.018,0.025,-1.748,0.607,7.904,0.346,0.119,0.276,-0.926,1.01,2.981,1.45,0.529,0.259,0.042,0.492
