line       , source, mean_obs_AA      , stddev_obs_AA      , flux                  , flux_uncert           , is_upper_limit, units
HeII1640   , A     , 4394.988901270029, 0.4147202259041692 , 1.2087037515503542e-17, 2.565588684460959e-18 , False         , erg / s / cm2
[SiII]1808 , A     , 4844.000506185226, 0.3100646454525556 , 1.4604897758331286e-18, 2.514061893390969e-18 , False         , erg / s / cm2
[SiIII]1883, A     , 5044.905634588376, 1.060380792149782  , 1.6011004045949647e-17, 3.4652126698270965e-18, False         , erg / s / cm2
[SiIII]1892, A     , 5069.098676479152, 0.49120289631926894, 7.542096729934645e-18 , 2.4039257555140546e-18, False         , erg / s / cm2
[CIII]1907 , A     , 5108.348738904389, 0.48203433287021696, 1.1946933928445806e-17,                       , True          , erg / s / cm2
[CIII]1909 , A     , 5113.851785199367, 0.6145777109243814 , 1.8577044948790112e-17, 3.3001720383672156e-18, False         , erg / s / cm2
[CII]2325  , A     , 6228.274922820632, 0.5877128796022745 , 2.579138818975567e-17 ,                       , True          , erg / s / cm2
