line,n,k_old,k_new,chi2_old,chi2_new,d_chi2,aic_old,aic_new,d_aic,bic_old,bic_new,d_bic,frac1s_old,frac1s_new,frac2s_old,frac2s_new,frac3s_old,frac3s_new
Halpha,205,16,13,516.261514805025,393.8820000168033,-122.37951478822163,548.261514805025,419.8820000168033,-128.37951478822163,601.4296744712394,463.0811297456026,-138.34854472563683,0.4126984126984127,0.38235294117647056,0.6984126984126984,0.7941176470588235,0.8571428571428571,0.9117647058823529
[OIII]5007,167,6,5,668.896634773485,692.7671743116266,23.870539538141657,680.896634773485,702.7671743116266,21.870539538141657,699.6045976479854,718.3571433737104,18.752545725724985,0.3125,0.3333333333333333,0.4583333333333333,0.6078431372549019,0.6875,0.7647058823529411
[OIII]4959,149,6,5,429.60229720166103,434.43101439525026,4.8287171935892275,441.60229720166103,444.43101439525026,2.8287171935892275,459.6259750373338,459.4507459249776,-0.17522911235619176,0.3958333333333333,0.43137254901960786,0.7083333333333334,0.7058823529411765,0.8333333333333334,0.8235294117647058
Hbeta,149,6,5,133.2840989749639,123.54446352003369,-9.739635454930223,145.2840989749639,133.54446352003367,-11.739635454930237,163.30777681063665,148.564195049761,-14.743581760875657,0.7105263157894737,0.7560975609756098,1.0,1.0,1.0,1.0
Hgamma,152,6,5,150.0146332640128,149.45161018994483,-0.5630230740679565,162.0146332640128,159.45161018994483,-2.5630230740679565,180.15791638909045,174.57101279417623,-5.586903594914219,0.7619047619047619,0.7954545454545454,0.9761904761904762,1.0,1.0,1.0
[OII],554,7,5,608.892173621955,600.9271467058618,-7.965026916093166,622.892173621955,610.9271467058618,-11.965026916093166,653.1123264291859,632.5129701395982,-20.599356289587718,0.5725806451612904,0.5942028985507246,0.9112903225806451,0.9057971014492754,0.9838709677419355,0.9855072463768116
