PII964     963.801  1.458000  3.490E9   
PII961     961.041  0.348900  8.400E8   
PIII1335  1334.813  0.025290  5.659E7   
PIII998    998.000  0.111700  2.220E9   
PIII917    917.118  0.404900  4.792E9   
PIII914    913.968  0.203100  4.804E9   
PIV951     950.657  1.163     2.860e9  
PV1128    1128.008  0.2345    1.229e9  
PV1118    1117.977  0.4732    1.263e9  
SI1807    1807.3113 0.1105    6.700e8   
SI1296    1295.6531 0.1233    4.900e8  
SII1260   1259.519  0.01624   4.560e7  
SII1254   1253.811  0.01088   4.620e7  
SII1251   1250.584  0.005453  5.260e7  
SIII1190  1190.208  0.02217   6.232e7  
SIII1013  1012.502  0.03550   2.281e8  
SIV1063   1062.662  0.03999   1.410e8  
SVI945     944.523  0.2181    1.631e9  
SVI933     933.378  0.4414    1.690e9  
ArI1067   1066.660  0.06652   1.300e8  
ArI1048   1048.2199 0.2441    4.940e8   
CaII3970  3969.591  0.3145    1.414e8  
TiII3385  3384.740  0.3401    1.730e8  
TiII3074  3073.877  0.1091    2.500e8  
TiII3067  3067.245  0.04655   2.500e8  
TiIII1299 1298.697  0.09057   6.266e8   
MnII2606  2606.462  0.1927    2.648e8  
MnII2594  2594.499  0.2710    2.685e8  
MnII2577  2576.877  0.3508    2.741e8  
MnII1201  1201.118  0.08809   5.702e8  
MnII1199  1199.391  0.1059    4.911e8  
MnII1197  1197.184  0.1566    5.670e8  
FeI3721   3720.993  0.041190  2.000E8    
FeI2502   2501.886  0.049600  2.000E8  
FeI2484   2484.021  0.557000  2.000E8  
FeI2463   2463.392  0.053200  2.000E8  
FeI2167   2167.453  0.150000  2.000E8  
FeII2600  2600.1729 0.22390   2.700e8
FeII2587  2586.650  0.064570  2.720E8  
FeII2383  2382.765  0.3006    3.100E8  
FeII2374  2374.4612 0.02818   2.990E8   
FeII2368  2367.5905 0.00016   2.379e5     
FeII2344  2344.214  0.109700  2.680e8      
FeII226?  2260.7805 0.00244   4.849e6
FeII1611  1611.2005 0.001345  7.141e5
FeII1608  1608.4449 0.055450  1.996e8
FeII1261  1260.533  0.025000  1.312E8   
FeII1145  1144.9379 0.10500   4.450E8  
FeII1143  1143.226  0.013310  6.790e7  
FeII1142  1142.3656 0.00500   3.195e7  
FeII1134  1133.665  0.006000  2.000E8  
FeII1127  1127.098  0.003000  2.000E8  
FeII1125  1125.448  0.010990  2.000E8  
FeII1122  1121.975  0.020000  2.000E8  
FeII1106  1106.3596 0.001500  2.000E8  
FeII1097  1096.8769 0.032000  2.000E8  
FeII1083  1083.4204 0.004060  2.000E8  
FeII1082  1081.8748 0.014000  2.000E8  
FeII1064  1063.9718 0.004500  3.313e7  
FeII1063  1063.176  0.060000  3.539E8  
FeII1062  1062.152  0.003800  2.248e7  
FeII1055  1055.2617 0.00800   5.989e7  
FeIII1123 1122.526  0.078840  5.366e8   
CoII2026  2026.407  0.060500  9.828e7   
CoII2012  2012.161  0.04664   7.684e7         
CoII1548  1547.946  0.02453   5.588e7   
