source, diagnostic, pressure_logPk, metallicity_track, R                  , R_uncert          , R_limit_type, logU               , logU_uncert         , logU_in_valid_range, logq              , logq_uncert
A     , CIII      ,            5.0, 8.53             ,  1.1834949965725392,                   , undetermined, -2.9150978083815744, 0.007339576744164954, False              ,  7.561722894546353, 0.007339576744164954
A     , CIII      ,            5.0, 8.93             ,  1.1834949965725392,                   , undetermined, -1.7976777287523191, 0.007339576744164954, False              ,  8.679142974175608, 0.007339576744164954
A     , CIII      ,            5.0, 8.5400703        ,  1.1834949965725392,                   , undetermined, -2.8963686321400246, 0.007339576744164954, False              ,  7.580452070787903, 0.007339576744164954
A     , CIII      ,            5.0, 8.833552953198032,  1.1834949965725392,                   , undetermined, -2.143895241902328 , 0.007339576744164954, False              ,  8.3329254610256  , 0.007339576744164954
A     , CIII      ,            7.0, 8.53             ,  1.1834949965725392,                   , undetermined, -2.9760089093044826, 0.010553355910249019, True               ,  7.500811793623445, 0.010553355910249019
A     , CIII      ,            7.0, 8.93             ,  1.1834949965725392,                   , undetermined, -2.0290174004526307, 0.010553355910249019, False              ,  8.447803302475297, 0.010553355910249019
A     , CIII      ,            7.0, 8.5400703        ,  1.1834949965725392,                   , undetermined, -2.9607842496892545, 0.010553355910249019, True               ,  7.516036453238673, 0.010553355910249019
A     , CIII      ,            7.0, 8.833552953198032,  1.1834949965725392,                   , undetermined, -2.328944375699507 , 0.010553355910249019, False              ,  8.14787632722842 , 0.010553355910249019
A     , SiIII     ,            5.0, 8.53             , 16.126850845257408 , 27.910267527491314, measurement , -1.8539321734966734, 1.792437027658717   , False              ,  8.622888529431254, 1.792437027658717
A     , SiIII     ,            5.0, 8.93             , 16.126850845257408 , 27.910267527491314, measurement , -0.3163553947935043, 2.5608937181522657  , False              , 10.160465308134423, 2.5608937181522657
A     , SiIII     ,            5.0, 8.5400703        , 16.126850845257408 , 27.910267527491314, measurement , -1.8256020613608257, 1.8086410957184345  , False              ,  8.651218641567102, 1.8086410957184345
A     , SiIII     ,            5.0, 8.833552953198032, 16.126850845257408 , 27.910267527491314, measurement , -0.7692324285620202, 2.3521761114769437  , False              ,  9.707588274365907, 2.3521761114769437
A     , SiIII     ,            7.0, 8.53             , 16.126850845257408 , 27.910267527491314, measurement , -2.152494294861583 , 1.6513254138174347  , False              ,  8.324326408066344, 1.6513254138174347
A     , SiIII     ,            7.0, 8.93             , 16.126850845257408 , 27.910267527491314, measurement , -1.3223246663128805, 2.1340139929906887  , False              ,  9.154496036615047, 2.1340139929906887
A     , SiIII     ,            7.0, 8.5400703        , 16.126850845257408 , 27.910267527491314, measurement , -2.134369518863622 , 1.662205966853413   , False              ,  8.342451184064306, 1.662205966853413
A     , SiIII     ,            7.0, 8.833552953198032, 16.126850845257408 , 27.910267527491314, measurement , -1.5407129470332848, 2.0081492710074262  , False              ,  8.936107755894643, 2.0081492710074262
