wing,R23,R23_err,kk04_R23,kk04_R23_err,KD02_O32,KD02_O32_err,log_KD02_O32,log_KD02_O32_err,KK04_O32,KK04_O32_err,log_KK04_O32,log_KK04_O32_err,Halpha/Hbeta_observed,Halpha/Hbeta_observed_err,Hgamma/Hbeta_observed,Hgamma/Hbeta_observed_err,E(B-V),E(B-V)_err
red_wing,8.417,8.343,6.93,7.119,1.74,1.673,0.241,0.417,5.173,5.48,0.714,0.46,4.008,3.657,0.559,0.706,0.148,0.147
central,7.776,4.685,7.013,4.318,3.971,3.073,0.599,0.336,13.957,10.857,1.145,0.338,2.941,0.477,0.526,0.1,0.148,0.147
