wing,R23,R23_err,kk04_R23,kk04_R23_err,KD02_O32,KD02_O32_err,log_KD02_O32,log_KD02_O32_err,KK04_O32,KK04_O32_err,log_KK04_O32,log_KK04_O32_err,Halpha/Hbeta_observed,Halpha/Hbeta_observed_err,Hgamma/Hbeta_observed,Hgamma/Hbeta_observed_err,E(B-V),E(B-V)_err
red_wing,8.888,32.626,7.059,26.819,1.381,5.787,0.14,1.819,4.11,19.596,0.614,2.069,4.008,3.657,0.559,0.706,0.341,0.922
central,7.719,5.161,7.047,4.814,4.58,3.84,0.661,0.364,16.08,13.799,1.206,0.372,2.941,0.477,0.526,0.1,0.028,0.164
