ratio,value,uncert,log10_value,log10_uncert
N2,0.022,0.006,-1.655,0.118
O3N2,307.236,84.148,2.487,0.119
Halpha/Hbeta,3.528,0.143,0.548,0.018
Hgamma/Hbeta,0.466,0.029,-0.332,0.027
R23,9.693,0.507,0.986,0.023
kk04_R23,9.325,0.5,0.97,0.023
[OIII]/Hbeta,6.797,0.259,0.832,0.017
