ratio,value,uncert,log10_value,log10_uncert
N2,0.009,0.006,-2.064,0.291
O3N2,558.828,379.254,2.747,0.295
Halpha/Hbeta,3.208,0.347,0.506,0.047
Hgamma/Hbeta,0.56,0.096,-0.252,0.074
R23,7.624,1.016,0.882,0.058
kk04_R23,6.894,0.714,0.838,0.045
[OIII]/Hbeta,4.827,0.53,0.684,0.048
