wing,Halpha_flux,Halpha_flux_uncert,Hbeta_flux,Hbeta_flux_uncert,Hgamma_flux,Hgamma_flux_uncert,Halpha/Hbeta,Halpha/Hbeta_uncert,Hgamma/Hbeta,Hgamma/Hbeta_uncert
central,245.748,7.134,67.97,2.442,32.024,1.998,3.616,0.167,0.471,0.034
red_wing,44.855,5.438,14.401,1.87,6.323,1.668,3.115,0.553,0.439,0.129
