line,flux_ergs_s_cm2,flux_uncert,notes
[OII]3726,22.284,1.709,joint fit (joint_fit/all_detections)
[OII]3729,34.91,31.222,joint fit (joint_fit/all_detections)
Hgamma,26.774,3.817,joint fit (joint_fit/all_detections)
Hbeta,47.836,4.542,joint fit (joint_fit/all_detections)
[OIII]4959,76.579,4.766,joint fit (joint_fit/all_detections)
[OIII]5007,230.927,12.728,joint fit (joint_fit/all_detections)
[NII]6548,-0.834,-0.88,legacy single-gaussian fit (no joint refit)
Halpha,153.463,7.903,joint fit (joint_fit/all_detections)
[NII]6583,1.326,0.885,legacy single-gaussian fit (no joint refit)
