line,source,flux_before,flux_before_uncert,flux_after,flux_after_uncert,is_upper_limit,dust_correction_applied,E(B-V),E(B-V)_uncert,k_uv,units
[SiII]1808,A,1.4604897758331286e-18,2.514061893390969e-18,6.859855327838838e-18,1.193676179708869e-17,False,True,0.2147001814699562,0.03531791601012653,7.82272785044162,erg / s / cm2
[SiIII]1883,A,1.6011004045949647e-17,3.4652126698270965e-18,7.837224668946954e-17,2.658832813801385e-17,False,True,0.2147001814699562,0.03531791601012653,8.0314758566163,erg / s / cm2
[SiIII]1892,A,7.542096729934645e-18,2.4039257555140546e-18,3.7203364710796607e-17,1.5362339726798705e-17,False,True,0.2147001814699562,0.03531791601012653,8.070441730377642,erg / s / cm2
[CIII]1907,A,4.530510324221242e-17,3.947847620680176e-18,2.266153031036211e-16,6.317675754430704e-17,False,True,0.2147001814699562,0.03531791601012653,8.140911954282485,erg / s / cm2
[CIII]1909,A,2.887013512005861e-17,3.1306961242202846e-18,1.4471142701531055e-16,4.14566818392536e-17,False,True,0.2147001814699562,0.03531791601012653,8.15153025110193,erg / s / cm2
[CII]2325,A,2.579138818975567e-17,,2.579138818975567e-17,,True,False,0.2147001814699562,0.03531791601012653,8.611499950073538,erg / s / cm2
