line,source,flux_before,flux_before_uncert,flux_after,flux_after_uncert,is_upper_limit,E(B-V),E(B-V)_uncert,k_uv,dust_corrected,units
[SiII]1808,A,1.4604897758331286e-18,2.514061893390969e-18,6.859855327838838e-18,1.193676179708869e-17,False,0.2147001814699562,0.03531791601012653,7.82272785044162,True,erg / s / cm2
[SiIII]1883,A,1.6011004045949647e-17,3.4652126698270965e-18,7.837224668946954e-17,2.658832813801385e-17,False,0.2147001814699562,0.03531791601012653,8.0314758566163,True,erg / s / cm2
[SiIII]1892,A,7.542096729934645e-18,2.4039257555140546e-18,3.7203364710796607e-17,1.5362339726798705e-17,False,0.2147001814699562,0.03531791601012653,8.070441730377642,True,erg / s / cm2
