source,diagnostic,pressure_logPk,metallicity_track,R,R_uncert,R_limit_type,logU,logU_uncert,logU_in_valid_range,logq,logq_uncert,dust_corrected,E(B-V),E(B-V)_uncert
A,SiIII,5.0,8.6,16.84811207770436,29.656997517061644,measurement,-1.5981983083418072,1.9602243556390913,False,8.87862239458612,1.9602243556390913,True,0.2147001814699562,0.03531791601012653
A,SiIII,5.0,8.9,16.84811207770436,29.656997517061644,measurement,-0.39988392883390134,2.5596133245226977,False,10.076936774094026,2.5596133245226977,True,0.2147001814699562,0.03531791601012653
A,SiIII,5.0,8.5400703,16.84811207770436,29.656997517061644,measurement,-1.7796491481082057,1.858044186919278,False,8.697171554819722,1.858044186919278,True,0.2147001814699562,0.03531791601012653
A,SiIII,5.0,8.833552953198032,16.84811207770436,29.656997517061644,measurement,-0.7094965635938593,2.414223050690775,False,9.767324139334068,2.414223050690775,True,0.2147001814699562,0.03531791601012653
A,SiIII,7.0,8.6,16.84811207770436,29.656997517061644,measurement,-1.9791232046730158,1.7842524379247298,False,8.497697498254912,1.7842524379247298,True,0.2147001814699562,0.03531791601012653
A,SiIII,7.0,8.9,16.84811207770436,29.656997517061644,measurement,-1.337958094439415,2.1607931037648322,False,9.138862608488513,2.1607931037648322,True,0.2147001814699562,0.03531791601012653
A,SiIII,7.0,8.5400703,16.84811207770436,29.656997517061644,measurement,-2.0920318808933587,1.7161365957124328,False,8.384788822034569,1.7161365957124328,True,0.2147001814699562,0.03531791601012653
A,SiIII,7.0,8.833552953198032,16.84811207770436,29.656997517061644,measurement,-1.489576083247556,2.072282039562565,False,8.987244619680371,2.072282039562565,True,0.2147001814699562,0.03531791601012653
A,CIII,5.0,8.6,2.6225589211839875,,lower,-2.237349195189495,0.007339576744164954,False,8.239471507738433,0.007339576744164954,True,0.2147001814699562,0.03531791601012653
A,CIII,5.0,8.9,2.6225589211839875,,lower,-1.1771937123683074,0.007339576744164954,False,9.29962699055962,0.007339576744164954,True,0.2147001814699562,0.03531791601012653
A,CIII,5.0,8.5400703,2.6225589211839875,,lower,-2.3894029449642176,0.007339576744164954,False,8.08741775796371,0.007339576744164954,True,0.2147001814699562,0.03531791601012653
A,CIII,5.0,8.833552953198032,2.6225589211839875,,lower,-1.4585222612657844,0.007339576744164954,False,9.018298441662143,0.007339576744164954,True,0.2147001814699562,0.03531791601012653
A,CIII,7.0,8.6,2.6225589211839875,,lower,-2.3396802387085245,0.010553355910249019,False,8.137140464219403,0.010553355910249019,True,0.2147001814699562,0.03531791601012653
A,CIII,7.0,8.9,2.6225589211839875,,lower,-1.4439478845605436,0.010553355910249019,False,9.032872818367384,0.010553355910249019,True,0.2147001814699562,0.03531791601012653
A,CIII,7.0,8.5400703,2.6225589211839875,,lower,-2.464567150578546,0.010553355910249019,False,8.012253552349382,0.010553355910249019,True,0.2147001814699562,0.03531791601012653
A,CIII,7.0,8.833552953198032,2.6225589211839875,,lower,-1.68512444592443,0.010553355910249019,False,8.791696257003498,0.010553355910249019,True,0.2147001814699562,0.03531791601012653
A,CIII+SiIII_avg,5.0,8.6,,,"CIII=lower, SiIII=measurement",-1.917773751765651,0.9801190481042945,False,8.559046951162276,0.9801190481042945,True,0.2147001814699562,0.03531791601012653
A,CIII+SiIII_avg,5.0,8.9,,,"CIII=lower, SiIII=measurement",-0.7885388206011044,1.279811923727557,False,9.688281882326823,1.279811923727557,True,0.2147001814699562,0.03531791601012653
A,CIII+SiIII_avg,5.0,8.5400703,,,"CIII=lower, SiIII=measurement",-2.0845260465362117,0.92902934156184,False,8.392294656391716,0.92902934156184,True,0.2147001814699562,0.03531791601012653
A,CIII+SiIII_avg,5.0,8.833552953198032,,,"CIII=lower, SiIII=measurement",-1.0840094124298219,1.2071171036682249,False,9.392811290498106,1.2071171036682249,True,0.2147001814699562,0.03531791601012653
A,CIII+SiIII_avg,7.0,8.6,,,"CIII=lower, SiIII=measurement",-2.15940172169077,0.8921418238656494,False,8.317418981237157,0.8921418238656494,True,0.2147001814699562,0.03531791601012653
A,CIII+SiIII_avg,7.0,8.9,,,"CIII=lower, SiIII=measurement",-1.3909529894999793,1.080409437504901,False,9.085867713427948,1.080409437504901,True,0.2147001814699562,0.03531791601012653
A,CIII+SiIII_avg,7.0,8.5400703,,,"CIII=lower, SiIII=measurement",-2.2782995157359522,0.8580845221282729,False,8.198521187191975,0.8580845221282729,True,0.2147001814699562,0.03531791601012653
A,CIII+SiIII_avg,7.0,8.833552953198032,,,"CIII=lower, SiIII=measurement",-1.587350264585993,1.036154455765953,False,8.889470438341935,1.036154455765953,True,0.2147001814699562,0.03531791601012653
