wing,R23,R23_err,kk04_R23,kk04_R23_err,log_kk04_R23,log_kk04_R23_err,KD02_O32,KD02_O32_err,log_KD02_O32,log_KD02_O32_err,KK04_O32,KK04_O32_err,log_KK04_O32,log_KK04_O32_err,N2,N2_err,log_N2,log_N2_err,12+log(O/H)_N2,12+log(O/H)_N2_err,[NII]/[OII],[NII]/[OII]_err,log_NII_OII,log_NII_OII_err,Halpha/Hbeta_observed,Halpha/Hbeta_observed_err,Hgamma/Hbeta_observed,Hgamma/Hbeta_observed_err,E(B-V),E(B-V)_err
central,10.37,1.618,9.649,1.536,0.984,0.069,4.297,0.895,0.633,0.09,10.921,3.254,1.038,0.129,0.017,0.003,-1.764,0.086,7.894,0.049,0.062,0.021,-1.206,0.144,3.614,0.194,0.471,0.036,0.213,0.037
red_wing,,,,,,,,,,,,,,,,,,,,,,,,,3.096,0.592,0.434,0.142,0.213,0.037
