wing,R23,R23_err,kk04_R23,kk04_R23_err,log_kk04_R23,log_kk04_R23_err,KD02_O32,KD02_O32_err,log_KD02_O32,log_KD02_O32_err,KK04_O32,KK04_O32_err,log_KK04_O32,log_KK04_O32_err,N2,N2_err,log_N2,log_N2_err,12+log(O/H)_N2,12+log(O/H)_N2_err,[NII]/[OII],[NII]/[OII]_err,log_NII_OII,log_NII_OII_err,Halpha/Hbeta_observed,Halpha/Hbeta_observed_err,Hgamma/Hbeta_observed,Hgamma/Hbeta_observed_err,E(B-V),E(B-V)_err
central,10.386,2.306,9.646,2.186,0.984,0.098,4.179,1.143,0.621,0.119,10.621,3.818,1.026,0.156,0.016,0.004,-1.788,0.095,7.881,0.054,0.056,0.021,-1.251,0.163,3.614,0.194,0.471,0.036,0.236,0.054
red_wing,,,,,,,,,,,,,,,,,,,,,,,,,3.096,0.592,0.434,0.142,0.08,0.193
