ratio,value,uncert
N2,0.015,0.002
log_N2,-1.838,0.068
[OIII]/Hbeta,6.797,0.226
log_OIIIbeta,0.832,0.014
O3N2,468.198,74.639
log_O3N2,2.67,0.069
[NII]/[OII],0.236,0.293
log_NII_OII,-0.627,0.539
R23,9.677,0.4
log_R23,0.986,0.018
kk04_R23,9.309,0.393
log_kk04_R23,0.969,0.018
KD02_O32,11.607,5.333
log_KD02_O32,1.065,0.199
KK04_O32,41.811,51.536
log_KK04_O32,1.621,0.535
Halpha/Hbeta,3.537,0.124
log_Halpha_Hbeta,0.549,0.015
Hgamma/Hbeta,0.465,0.027
log_Hgamma_Hbeta,-0.332,0.025
