wing,[OIII]/Hbeta,[OIII]/Hbeta_err,log_OIIIbeta,log_OIIIbeta_err,R23,R23_err,log_R23,log_R23_err,kk04_R23,kk04_R23_err,log_kk04_R23,log_kk04_R23_err,KD02_O32,KD02_O32_err,log_KD02_O32,log_KD02_O32_err,KK04_O32,KK04_O32_err,log_KK04_O32,log_KK04_O32_err,Halpha/Hbeta,Halpha/Hbeta_err,log_Halpha_Hbeta,log_Halpha_Hbeta_err,Hgamma/Hbeta,Hgamma/Hbeta_err,log_Hgamma_Hbeta,log_Hgamma_Hbeta_err
red_wing,5.031,5.864,0.702,0.506,8.445,8.319,0.927,0.428,7.421,7.57,0.87,0.443,2.94,2.812,0.468,0.415,9.808,9.126,0.992,0.404,3.32,3.803,0.521,0.497,0.547,0.688,-0.262,0.546
central,4.906,2.303,0.691,0.204,7.683,3.156,0.886,0.178,6.95,2.88,0.842,0.18,4.285,3.072,0.632,0.311,15.893,8.694,1.201,0.237,2.981,1.45,0.474,0.211,0.529,0.259,-0.277,0.212
