ratio,value,uncert
N2,0.004,0.006
log_N2,-2.438,0.739
[OIII]/Hbeta,4.846,0.533
log_OIIIbeta,0.685,0.048
O3N2,1327.599,2266.443
log_O3N2,3.123,0.741
[NII]/[OII],0.025,0.043
log_NII_OII,-1.594,0.74
R23,7.682,0.932
log_R23,0.885,0.053
kk04_R23,6.914,0.729
log_kk04_R23,0.84,0.046
KD02_O32,3.936,1.535
log_KD02_O32,0.595,0.169
KK04_O32,13.915,1.134
log_KK04_O32,1.143,0.035
Halpha/Hbeta,3.238,0.35
log_Halpha_Hbeta,0.51,0.047
Hgamma/Hbeta,0.562,0.095
log_Hgamma_Hbeta,-0.251,0.073
