wing,R23,R23_err,kk04_R23,kk04_R23_err,log_kk04_R23,log_kk04_R23_err,KD02_O32,KD02_O32_err,log_KD02_O32,log_KD02_O32_err,KK04_O32,KK04_O32_err,log_KK04_O32,log_KK04_O32_err,N2,N2_err,log_N2,log_N2_err,12+log(O/H)_N2,12+log(O/H)_N2_err,[NII]/[OII],[NII]/[OII]_err,log_NII_OII,log_NII_OII_err,Halpha/Hbeta_observed,Halpha/Hbeta_observed_err,Hgamma/Hbeta_observed,Hgamma/Hbeta_observed_err,E(B-V),E(B-V)_err
red_wing,8.625,40.08,7.423,35.605,0.871,2.082,2.455,13.031,0.39,2.303,8.196,48.782,0.914,2.583,,,,,,,,,,,3.317,3.805,0.547,0.689,0.15,1.16
central,7.704,15.384,6.938,14.226,0.841,0.89,4.081,9.559,0.611,1.017,15.127,38.535,1.18,1.106,0.072,,-1.141,,8.25,,0.481,,-0.318,,2.98,1.446,0.529,0.258,0.041,0.491
blue_wing,,,,,,,,,,,,,,,,,,,,,,,,,5.222,2.684,0.918,0.624,0.609,0.52
